row_id,n_preferred_domain,n_rejected_domain,mean_prompt_sim,max_prompt_sim,operator,chosen_domain_specificity,rejected_domain_specificity,domain_contrast_delta,correct_sign_rule,chosen_to_preferred_train,chosen_to_rejected_train,rejected_to_preferred_train,rejected_to_rejected_train
2175,10,10,0.6679682731628418,0.6772725582122803,top2,0.0029602646827697754,0.045746833086013794,-0.04278656840324402,False,0.5295734405517578,0.526613175868988,0.5336834192276001,0.4879365861415863
2175,10,10,0.6679682731628418,0.6772725582122803,top3,-0.03801447153091431,0.040344834327697754,-0.07835930585861206,False,0.4519868791103363,0.4900013506412506,0.5126845836639404,0.4723397493362427
2175,10,10,0.6679682731628418,0.6772725582122803,top5,-0.03348630666732788,0.04556092619895935,-0.07904723286628723,False,0.38889920711517334,0.4223855137825012,0.49012041091918945,0.4445594847202301
2176,10,10,0.6679681539535522,0.6772725582122803,mean,0.03759071230888367,-0.010524988174438477,0.048115700483322144,True,0.48687177896499634,0.44928106665611267,0.3723243772983551,0.3828493654727936
2176,10,10,0.6679681539535522,0.6772725582122803,max,-0.10006695985794067,-0.04828575253486633,-0.05178120732307434,False,0.6062412261962891,0.7063081860542297,0.4375323951244354,0.48581814765930176
2176,10,10,0.6679681539535522,0.6772725582122803,top2,-0.11177676916122437,-0.048783719539642334,-0.06299304962158203,False,0.5739443898200989,0.6857211589813232,0.4305267930030823,0.4793105125427246
2176,10,10,0.6679681539535522,0.6772725582122803,top3,-0.07451778650283813,-0.045863330364227295,-0.02865445613861084,False,0.5631787776947021,0.6376965641975403,0.42819157242774963,0.47405490279197693
2176,10,10,0.6679681539535522,0.6772725582122803,top5,-0.037531495094299316,-0.045817822217941284,0.008286327123641968,True,0.5461959838867188,0.5837274789810181,0.4147060811519623,0.46052390336990356
2177,10,10,0.6679681539535522,0.6772725582122803,mean,0.03163492679595947,0.042093753814697266,-0.010458827018737793,False,0.4143122732639313,0.3826773464679718,0.421457439661026,0.37936368584632874
2177,10,10,0.6679681539535522,0.6772725582122803,max,0.0169602632522583,0.0,0.0169602632522583,True,0.5218254327774048,0.5048651695251465,0.5412441492080688,0.5412441492080688
2177,10,10,0.6679681539535522,0.6772725582122803,top2,0.0260046124458313,0.006147503852844238,0.01985710859298706,True,0.5218254327774048,0.4958208203315735,0.5412441492080688,0.5350966453552246
2177,10,10,0.6679681539535522,0.6772725582122803,top3,0.02621331810951233,0.0006893277168273926,0.025523990392684937,True,0.5177846550941467,0.4915713369846344,0.5147955417633057,0.5141062140464783
2177,10,10,0.6679681539535522,0.6772725582122803,top5,-0.004734814167022705,0.0021486282348632812,-0.006883442401885986,False,0.4806954264640808,0.4854302406311035,0.47962436079978943,0.47747573256492615
2178,10,10,0.5257721543312073,0.5421646237373352,mean,-0.0042465925216674805,-0.0628737211227417,0.05862712860107422,True,0.2579200863838196,0.26216667890548706,0.33800333738327026,0.40087705850601196
2178,10,10,0.5257721543312073,0.5421646237373352,max,-0.10179823637008667,-0.17892590165138245,0.07712766528129578,True,0.3567802309989929,0.4585784673690796,0.4480381906032562,0.6269640922546387
2178,10,10,0.5257721543312073,0.5421646237373352,top2,-0.07877910137176514,-0.13891154527664185,0.06013244390487671,True,0.3445044755935669,0.42328357696533203,0.44761914014816284,0.5865306854248047
2178,10,10,0.5257721543312073,0.5421646237373352,top3,-0.06715837121009827,-0.11218246817588806,0.045024096965789795,True,0.33616065979003906,0.40331903100013733,0.4420031011104584,0.5541855692863464
