analysis,target,domain_variant,control_variant,generic_seed,generic_d_n,generic_metric,generic_source_file,pool_target,eval_target,fold_seed,supervised_seed,supervised_d_n,supervised_metric,supervised_source_file,n_items,observed_generic_rho,observed_supervised_rho,observed_diff
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,303,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed303_seed17_dn8.csv,36,-0.2690104115314687,0.4173589008010963,0.6863693123325649
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,303,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed303_seed18_dn8.csv,36,-0.2690104115314687,0.5359604273786371,0.8049708389101058
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,303,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed303_seed19_dn8.csv,36,-0.2690104115314687,0.4981006566796175,0.7671110682110862
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,404,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed404_seed17_dn8.csv,36,-0.2690104115314687,0.3492370684889149,0.6182474800203837
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,404,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed404_seed18_dn8.csv,36,-0.2690104115314687,0.23488510801024362,0.5038955195417123
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,404,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed404_seed19_dn8.csv,36,-0.2690104115314687,0.1540145774014536,0.4230249889329223
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,101,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed101_seed17_dn8.csv,36,0.09297535525405476,0.3474342222651521,0.2544588670110973
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,101,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed101_seed18_dn8.csv,36,0.09297535525405476,0.4473634129537206,0.35438805769966586
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,101,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed101_seed19_dn8.csv,36,0.09297535525405476,0.4182603239129777,0.3252849686589229
domain_contrast,Surprise,accessible,wordctrl,17,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed17_dn32.csv,Surprise,Surprise,123,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed123_seed17_dn8.csv,36,0.09297535525405476,0.4637178036978549,0.37074244844380017
