analysis,target,domain_variant,control_variant,generic_seed,generic_d_n,generic_metric,generic_source_file,pool_target,eval_target,fold_seed,supervised_seed,supervised_d_n,supervised_metric,supervised_source_file,n_items,observed_generic_rho,observed_supervised_rho,observed_diff
domain_contrast,Creativity,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Creativity,Creativity,123,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed18_dn8.csv,36,0.13815748521946988,0.242837853796757,0.1046803685772871
domain_contrast,Creativity,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Creativity,Creativity,123,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed19_dn8.csv,36,0.13815748521946988,0.303096663752686,0.16493917853321613
domain_contrast,Creativity,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Creativity,Creativity,202,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed17_dn8.csv,36,0.13815748521946988,0.43262735352974735,0.29446986831027744
domain_contrast,Creativity,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Creativity,Creativity,202,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed18_dn8.csv,36,0.13815748521946988,0.4382927117307321,0.30013522651126223
domain_contrast,Creativity,accessible,wordctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed18_dn32.csv,Creativity,Creativity,202,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed19_dn8.csv,36,0.13815748521946988,0.2952424171558662,0.1570849319363963
domain_contrast,Creativity,accessible,wordctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed19_dn32.csv,Creativity,Creativity,101,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed17_dn8.csv,36,0.20588426734942436,0.38949337631770403,0.18360910896827967
domain_contrast,Creativity,accessible,wordctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed19_dn32.csv,Creativity,Creativity,101,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed18_dn8.csv,36,0.20588426734942436,0.24013393283719603,0.03424966548777167
domain_contrast,Creativity,accessible,wordctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed19_dn32.csv,Creativity,Creativity,101,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed101_seed19_dn8.csv,36,0.20588426734942436,0.3424966548777166,0.13661238752829222
domain_contrast,Creativity,accessible,wordctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed19_dn32.csv,Creativity,Creativity,123,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed17_dn8.csv,36,0.20588426734942436,0.3812528552980898,0.17536858794866542
domain_contrast,Creativity,accessible,wordctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed19_dn32.csv,Creativity,Creativity,123,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed18_dn8.csv,36,0.20588426734942436,0.242837853796757,0.036953586447332626
domain_contrast,Creativity,accessible,wordctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed19_dn32.csv,Creativity,Creativity,123,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed123_seed19_dn8.csv,36,0.20588426734942436,0.303096663752686,0.09721239640326165
domain_contrast,Creativity,accessible,wordctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed19_dn32.csv,Creativity,Creativity,202,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed17_dn8.csv,36,0.20588426734942436,0.43262735352974735,0.226743086180323
domain_contrast,Creativity,accessible,wordctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed19_dn32.csv,Creativity,Creativity,202,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed18_dn8.csv,36,0.20588426734942436,0.4382927117307321,0.23240844438130773
domain_contrast,Creativity,accessible,wordctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_wordctrl_seed19_dn32.csv,Creativity,Creativity,202,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolCreativity_evalCreativity_foldseed202_seed19_dn8.csv,36,0.20588426734942436,0.2952424171558662,0.08935814980644183
